repository,file_url
mbechler/marshalsec,https://github.com/mbechler/marshalsec/blob/3fb423f4ffed92917e34c2e8a54d4157b9d967d0/src/main/java/marshalsec/gadgets/JDKUtil.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/716cb32feab8a4fad9b17837d59a0cb22fd7868f/app/src/main/java/org/shadowice/flocke/andotp/Utilities/KeyStoreHelper.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/76edcb900a851772fcbdce77afa6ad31c65b8d7e/app/src/main/java/org/shadowice/flocke/andotp/Receivers/EncryptedBackupBroadcastReceiver.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/76edcb900a851772fcbdce77afa6ad31c65b8d7e/app/src/main/java/org/shadowice/flocke/andotp/Receivers/PlainTextBackupBroadcastReceiver.java
google/conscrypt,https://github.com/google/conscrypt/blob/cc582b21399d354f9c3585c92f962f860c9ad0bb/openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/ECDHKeyAgreementTest.java
google/conscrypt,https://github.com/google/conscrypt/blob/29916ef38dc9cb4e4c6e3fdb87d4e921546d3ef4/common/src/main/java/org/conscrypt/DuckTypedPSKKeyManager.java
google/conscrypt,https://github.com/google/conscrypt/blob/72171a4df6799a188858faaba5cb08be9ba7dc6e/common/src/main/java/org/conscrypt/GCMParameters.java
google/conscrypt,https://github.com/google/conscrypt/blob/5ec35be71ded09ec6126538cc4be494c82557b60/benchmark-base/src/main/java/org/conscrypt/CipherEncryptBenchmark.java
google/conscrypt,https://github.com/google/conscrypt/blob/6e6b99f7d5794545563a5953babfe793a40c5ae5/common/src/main/java/org/conscrypt/IvParameters.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDH.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestGCM.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestOAEP.java
google/conscrypt,https://github.com/google/conscrypt/blob/7d5066f5d9301d9cbd0a1ba12c3c927515b672cd/common/src/main/java/org/conscrypt/OpenSSLCipher.java
google/conscrypt,https://github.com/google/conscrypt/blob/29916ef38dc9cb4e4c6e3fdb87d4e921546d3ef4/openjdk/src/test/java/org/conscrypt/DuckTypedPSKKeyManagerTest.java
google/conscrypt,https://github.com/google/conscrypt/blob/61917ff9123d93c2efd7f9f847235d3a85f73152/common/src/main/java/org/conscrypt/OAEPParameters.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/716cb32feab8a4fad9b17837d59a0cb22fd7868f/app/src/main/java/org/shadowice/flocke/andotp/Utilities/DatabaseHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/29916ef38dc9cb4e4c6e3fdb87d4e921546d3ef4/common/src/main/java/org/conscrypt/PSKKeyManager.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyPairGeneratorTest.java
google/conscrypt,https://github.com/google/conscrypt/blob/2a4637489609c4d6fc804850886e6e15b0dda38a/android/src/main/java/org/conscrypt/Platform.java
